run	embeddings	accuracy	precision_macro	recall_macro	f1_score_macro	f1_score_micro
1	glove	0.635036	0.634269	0.639074	0.634587	0.635036
2	glove	0.640511	0.64126	0.645566	0.640129	0.640511
3	glove	0.625	0.624832	0.629915	0.623616	0.625
4	glove	0.622263	0.622423	0.62639	0.623478	0.622263
5	glove	0.62865	0.628216	0.632852	0.628706	0.62865
6	glove	0.644161	0.643697	0.647648	0.643179	0.644161
7	glove	0.636861	0.643945	0.641678	0.638822	0.636861
8	glove	0.632299	0.634147	0.637878	0.63234	0.632299
9	glove	0.643248	0.642524	0.647423	0.642571	0.643248
10	glove	0.632299	0.633639	0.638129	0.632518	0.632299
1	ewe_uni	0.636861	0.637105	0.640656	0.638369	0.636861
2	ewe_uni	0.629562	0.631995	0.634004	0.631261	0.629562
3	ewe_uni	0.649635	0.650788	0.65469	0.650941	0.649635
4	ewe_uni	0.632299	0.633225	0.636419	0.633857	0.632299
5	ewe_uni	0.642336	0.645388	0.646804	0.643475	0.642336
6	ewe_uni	0.625912	0.62683	0.630666	0.627052	0.625912
7	ewe_uni	0.627737	0.628861	0.632804	0.628567	0.627737
8	ewe_uni	0.640511	0.641347	0.644356	0.641614	0.640511
9	ewe_uni	0.629562	0.629895	0.634378	0.629922	0.629562
10	ewe_uni	0.629562	0.632624	0.634959	0.630258	0.629562
1	sawe-100	0.632299	0.631275	0.636085	0.632052	0.632299
2	sawe-100	0.619526	0.624729	0.624428	0.621774	0.619526
3	sawe-100	0.638686	0.642948	0.643155	0.639935	0.638686
4	sawe-100	0.638686	0.639328	0.643308	0.640586	0.638686
5	sawe-100	0.632299	0.635021	0.638313	0.630716	0.632299
6	sawe-100	0.639599	0.641004	0.645372	0.639659	0.639599
7	sawe-100	0.627737	0.627455	0.633012	0.627531	0.627737
8	sawe-100	0.624088	0.638225	0.630479	0.62491	0.624088
9	sawe-100	0.623175	0.625125	0.628466	0.624421	0.623175
10	sawe-100	0.625	0.624729	0.630019	0.625549	0.625
1	sota	0.632299	0.639466	0.638885	0.632161	0.632299
2	sota	0.617701	0.621164	0.624	0.61652	0.617701
3	sota	0.620438	0.624301	0.625562	0.622223	0.620438
4	sota	0.618613	0.618149	0.623819	0.618409	0.618613
5	sota	0.634124	0.634002	0.639559	0.634074	0.634124
6	sota	0.643248	0.650803	0.648796	0.643681	0.643248
7	sota	0.62865	0.62896	0.633374	0.626775	0.62865
8	sota	0.62135	0.621984	0.626623	0.621937	0.62135
9	sota	0.626825	0.627389	0.631553	0.62727	0.626825
10	sota	0.644161	0.645335	0.647241	0.642536	0.644161
1	senti_embeddings	0.638686	0.641963	0.643597	0.637731	0.638686
2	senti_embeddings	0.645073	0.64436	0.650389	0.644836	0.645073
3	senti_embeddings	0.649635	0.652134	0.654759	0.650891	0.649635
4	senti_embeddings	0.654197	0.654894	0.659243	0.654356	0.654197
5	senti_embeddings	0.634124	0.633836	0.640399	0.633112	0.634124
6	senti_embeddings	0.652372	0.655643	0.657744	0.653704	0.652372
7	senti_embeddings	0.666971	0.667515	0.672071	0.666077	0.666971
8	senti_embeddings	0.654197	0.654146	0.657834	0.655121	0.654197
9	senti_embeddings	0.635949	0.635445	0.640234	0.636272	0.635949
10	senti_embeddings	0.649635	0.656155	0.653222	0.651255	0.649635
